District,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14
Kamonyi,58,53.8,112.5,103.6,81,11.8,11.8,17.8,31.7,121.1,157.6,92.1,82.5,70.5,243.2,106,83.7,11.8,23.5,29.5,87.8,219.7,189,106.7,69.9,79.2,104,173.1,143.8,11.8,11.8,17.8,36.1,36.1,110.2,129.9,61.9,65.5,61.9,155.9,106.7,20.9,17.4,47.8,103.7,109.6,113,58.8,82.6,101.9,152.3,185.1,63.9,20.1,11.8,26.8,102.3,125.8,218.2,135.3,67.9,84.5,165.5,120.3,111.2,17.6,11.8,67.8,127.1,226.7,81.9,41.2,58.8,103.2,147.8,233.9,122,11.8,17.6,56.7,49.1,82,211,194.1,73.8,112.6,128.1,152.2,301.1,37.3,29.2,40.9,98.1,113.8,115.8,64.1,58.8,76.5,148.5,110.9,73.5,37.6,11.8,44.3,74.2,104.1,100.2,64.2,69.5,185.5,123.6,154.7,164.9,17.6,11.8,24.4,29.3,133,113.1,74.3,93.8,207.2,160,139.7,84.9,35.4,17.6,17.6,73.7,112.5,103.8,142.1,78.6,125.5,142.4,151.3,101.1,35.2,14.2,64.5,174.9,183.7,168.4,96.3,47.2,70.6,127.5,229.1,166.9,23.3,11.8,62.3,103.1,189.9,153.1,140.5,85.1,85.1,224.7,144.8,62.5,11.8,11.8,29.5,111,102.2,141.9,119.2,53.7,98.4,142.4,133.5,41.8,19.7,11.8,44.1,61.5,120.2,123.8,65.5
Karongi,52.9,52.9,100,100,88.2,11.8,11.8,17.6,29.4,117.6,152.9,82.4,82.4,64.7,229.4,105.9,70.6,11.8,29.4,35.3,94.1,211.8,176.5,100,76.5,76.5,100,152.9,152.9,11.8,11.8,17.6,35.3,35.3,105.9,129.4,52.9,58.8,52.9,164.7,111.8,23.5,17.6,58.8,94.1,123.5,105.9,58.8,82.4,94.1,141.2,176.5,64.7,22.1,11.8,29.4,100,105.9,200,123.5,64.7,82.4,147.1,117.6,100,17.6,11.8,76.5,129.4,205.9,76.5,41.2,58.8,94.1,135.3,205.9,123.5,11.8,17.6,58.8,47.1,76.5,211.8,194.1,70.6,111.8,111.8,147.1,294.1,41.2,29.4,41.2,94.1,100,111.8,58.8,52.9,70.6,135.3,100,64.7,47.1,17.6,58.8,70.6,100,94.1,70.6,64.7,176.5,123.5,164.7,170.6,17.6,11.8,23.5,35.3,135.3,105.9,70.6,94.1,205.9,147.1,135.3,82.4,41.2,11.8,17.6,88.2,105.9,100,135.3,76.5,111.8,123.5,129.4,117.6,41.2,11.8,70.6,170.6,164.7,164.7,88.2,47.1,70.6,117.6,200,182.4,29.4,11.8,64.7,105.9,170.6,141.2,123.5,76.5,76.5,211.8,141.2,70.6,11.8,11.8,35.3,117.6,94.1,135.3,123.5,58.8,94.1,135.3,129.4,47.1,23.5,11.8,47.1,76.5,105.9,117.6,70.6
Rutsiro,58.8,53.1,117.4,105.9,85.8,11.8,11.8,17.6,35.7,112.2,159.2,103.4,82.2,70.8,243.6,105.9,85.4,11.8,23.5,29.6,82.2,217.6,196.8,105.9,74.2,78.9,102.4,176.9,134.9,11.8,11.8,17.6,35.3,35.3,117.8,129.8,58.6,64.7,58.6,152.7,102.8,17.8,17.6,43.8,100,111.8,112.2,58.8,79.7,96.8,149.3,191.9,56.2,18.7,11.8,23.7,99.6,123.7,229.4,132.5,64.7,79.1,161.3,117,106.3,17.6,11.8,61.5,117.8,211.6,82.2,41.2,55.6,99.8,149.5,233.9,127,11.8,17.6,55.6,46.9,76.5,208.5,185.8,70.2,111.8,129.2,137.5,275.1,31.8,29.2,41.2,97.2,114.8,123.3,62.3,59,76.5,149.5,108.1,76.5,35.3,11.8,41.4,70.2,106.5,102.8,61.9,64.7,178.9,119.9,147.3,152.7,17.6,11.8,23.5,29.4,122.9,117.6,77.5,90.7,208.3,161.3,135.1,88.2,35.3,14.4,17.4,67.5,103.7,111.6,135.7,73,126.2,140.6,163.3,93.7,32,17.6,58.4,168,182.4,170.2,93.9,46.9,70.6,125.8,224.7,154.4,20.9,11.8,61.5,93.7,188,155.2,147.3,82.4,82.4,219.1,140.6,61.9,11.8,11.8,29.4,105.7,90.9,152.5,111.6,52.9,99.8,143.8,128.8,41.2,17.6,11.8,41,58.8,115.2,126,64.9
Rubavu,52.9,52.9,100,100,88.2,11.8,11.8,17.6,29.4,117.6,152.9,82.4,82.4,64.7,229.4,105.9,70.6,11.8,29.4,35.3,94.1,211.8,176.5,100,76.5,76.5,100,152.9,152.9,11.8,11.8,17.6,35.3,35.3,105.9,129.4,52.9,58.8,52.9,164.7,111.8,23.5,17.6,58.8,94.1,123.5,105.9,58.8,82.4,94.1,141.2,176.5,64.7,22.1,11.8,29.4,100,105.9,200,123.5,64.7,82.4,147.1,117.6,100,17.6,11.8,76.5,129.4,205.9,76.5,41.2,58.8,94.1,135.3,205.9,123.5,11.8,17.6,58.8,47.1,76.5,211.8,194.1,70.6,111.8,111.8,147.1,294.1,41.2,29.4,41.2,94.1,100,111.8,58.8,52.9,70.6,135.3,100,64.7,47.1,17.6,58.8,70.6,100,94.1,70.6,64.7,176.5,123.5,164.7,170.6,17.6,11.8,23.5,35.3,135.3,105.9,70.6,94.1,205.9,147.1,135.3,82.4,41.2,11.8,17.6,88.2,105.9,100,135.3,76.5,111.8,123.5,129.4,117.6,41.2,11.8,70.6,170.6,164.7,164.7,88.2,47.1,70.6,117.6,200,182.4,29.4,11.8,64.7,105.9,170.6,141.2,123.5,76.5,76.5,211.8,141.2,70.6,11.8,11.8,35.3,117.6,94.1,135.3,123.5,58.8,94.1,135.3,129.4,47.1,23.5,11.8,47.1,76.5,105.9,117.6,70.6
Nyabihu,52.9,58.8,109,106.7,77.3,16.8,11.8,23.5,35.9,130.3,166.2,81.7,84.7,72.3,251.1,107.6,78.8,11.8,23.5,36.1,90.5,224.4,180.3,102.3,72.9,78.2,107.6,159.5,155.3,11.8,11.8,23.5,41.2,41.2,117.6,132.4,58.8,65.5,58.8,164.7,115.5,23.5,17.6,63.9,103.2,127.9,114.7,58,84.7,107.6,157.6,191.2,64.7,21.5,11.8,29.4,105.3,123.5,210.3,128.4,65.5,87.6,167.9,121.4,104.6,17.6,11.8,80.9,132.4,222.9,82.4,46.2,55.3,106.9,148.7,224.4,125,11.8,17.6,68.3,47.1,88.2,225,195,77.3,117,125.8,155.7,247.7,38.9,29.4,42,95,111.8,122.1,64.1,55.3,72.9,145.8,106.7,80.9,39.7,11.8,60.9,71.4,109,99.2,68.3,66.4,184.2,134,167.6,167.4,17.6,11.8,29.4,35.3,146.4,117.6,71.4,89.1,218.1,160.5,144.7,85.9,39.7,17.6,17.6,86.8,117,105.7,132.6,82.6,125.2,144.3,139.1,116,44.1,16.2,77.3,167.6,197.7,170.6,89.1,52.9,71.4,131.9,217.9,185.7,28.8,11.8,67,108.2,183.8,152.9,122.3,72.9,72.9,226.1,148.7,63,11.8,11.8,39.7,118.3,106.1,141.8,116.2,53.8,100.8,152.3,136.8,41.2,17.6,11.8,46.2,70,120,122.1,71.4
Ngororero,52.9,61.3,112,108.2,75.3,16.7,11.8,22.6,30.7,130.9,170.4,79.1,87.1,74,262.2,106.6,75.9,15.4,27.9,35.7,94.5,221.4,183.7,104.7,76.9,83.9,115.4,157.5,160.2,11.8,11.8,23,40,40,119,134.2,58.3,67.7,58.3,175.5,120.3,23.9,17.6,63.6,95.8,136.8,117.8,58.8,90.7,108.3,166.6,189.9,67.2,22.6,15.2,29.4,101.3,123.1,209.1,128.3,65.1,94.3,172.7,125,104.7,18,11.8,73.8,130.2,213.1,84.8,46.1,58.3,111.4,156.2,222.4,131.3,11.8,21.1,60.5,47.1,85.8,229.2,194.3,78.9,124.3,128.7,156,257.3,41.2,29.4,41,97.7,105.9,120.9,60.2,53.3,78.6,151.2,104.4,77.2,42.1,12.7,58.8,66.6,101.3,99.4,67.6,68.7,199.4,147.4,172.1,175,18,11.8,27.9,35.7,144.2,115.6,74,94.1,234.2,171,141,83.9,41.2,16.1,17.6,95.3,115.2,101.7,134.2,84.8,125,145.2,137,121.3,45.5,16.1,71.3,162.6,181,169.4,89.2,52.4,77.6,138.5,212.3,180.5,29.4,11.8,63.8,102.3,171.9,150.9,115.9,75.5,75.5,232.6,145.9,68.9,11.8,11.8,39.7,119,103.4,143.6,123.1,57.9,107,156.5,137.2,46.5,22,11.8,47.6,72.5,115.6,123,74
Rusizi,52.9,52.9,104.4,100,88.2,11.8,11.8,17.6,29.4,117.6,157.4,86.8,86.8,64.7,238.2,105.9,79.4,11.8,29.4,35.3,94.1,216.2,180.9,104.4,72.1,80.9,100,166.2,152.9,11.8,11.8,17.6,35.3,35.3,105.9,133.8,57.4,63.2,57.4,160.3,116.2,23.5,17.6,54.4,102.9,119.1,110.3,58.8,86.8,98.5,150,180.9,64.7,21.5,11.8,29.4,108.8,114.7,208.8,132.4,64.7,86.8,155.9,122.1,104.4,17.6,11.8,72.1,129.4,219.1,80.9,41.2,58.8,98.5,139.7,214.7,123.5,11.8,17.6,58.8,51.5,76.5,211.8,194.1,70.6,111.8,116.2,147.1,311.8,41.2,29.4,41.2,94.1,108.8,111.8,63.2,52.9,70.6,139.7,104.4,64.7,42.6,17.6,50,75,100,94.1,66.2,69.1,180.9,123.5,155.9,166.2,17.6,11.8,23.5,30.9,130.9,105.9,70.6,98.5,205.9,151.5,130.9,91.2,36.8,16.2,17.6,83.8,110.3,100,135.3,80.9,116.2,132.4,125,113.2,41.2,16.2,70.6,166.2,169.1,164.7,92.6,47.1,70.6,122.1,200,177.9,29.4,11.8,64.7,110.3,170.6,145.6,132.4,76.5,76.5,211.8,136.8,61.8,11.8,11.8,35.3,117.6,94.1,139.7,119.1,54.4,94.1,135.3,129.4,38.2,19.1,11.8,47.1,67.6,105.9,117.6,66.2
Nyamasheke,52.9,52.9,101.5,100,83.8,11.8,11.8,17.6,29.4,113.2,145.6,88.2,88.2,69.1,236.8,110.3,77.9,16.2,25,35.3,98.5,208.8,173.5,105.9,75,82.4,95.6,175,148.5,11.8,11.8,17.6,35.3,35.3,97.1,139.7,58.8,64.7,58.8,158.8,108.8,23.5,17.6,52.9,101.5,117.6,107.4,63.2,88.2,100,148.5,186.8,64.7,23.5,11.8,29.4,107.4,113.2,202.9,139.7,64.7,88.2,150,119.1,105.9,17.6,11.8,70.6,129.4,205.9,77.9,41.2,63.2,100,136.8,226.5,119.1,16.2,17.6,63.2,57.4,76.5,198.5,194.1,70.6,111.8,113.2,151.5,291.2,45.6,29.4,41.2,98.5,107.4,107.4,64.7,57.4,75,136.8,105.9,55.9,45.6,17.6,47.1,80.9,95.6,89.7,64.7,70.6,177.9,119.1,161.8,164.7,17.6,11.8,23.5,25,120.6,101.5,70.6,104.4,210.3,148.5,138.2,80.9,35.3,13.2,17.6,82.4,116.2,91.2,130.9,82.4,113.2,126.5,123.5,111.8,45.6,13.2,61.8,169.1,157.4,160.3,94.1,47.1,70.6,119.1,204.4,167.6,29.4,11.8,60.3,102.9,166.2,142.6,139.7,76.5,76.5,198.5,135.3,58.8,11.8,11.8,35.3,117.6,89.7,132.4,122.1,57.4,94.1,130.9,120.6,39.7,17.6,11.8,51.5,64.7,101.5,113.2,64.7
Rulindo,54.9,52.9,107.2,100,81.7,11.8,11.8,17.6,26.8,115.7,152.9,88.2,86.3,67.3,241.2,106.5,82.4,12.4,26.1,32.7,92.2,214.4,182.4,103.9,69.3,81.7,98.7,173.9,145.1,11.8,11.8,17.6,35.3,35.3,103.9,134.6,58.8,64.1,58.8,156.2,111.8,21.6,17.6,49.7,100.7,114.4,110.5,59.5,85.6,97.4,151.6,183.7,64.7,21.5,11.8,26.8,108.5,117.6,209.2,137.3,64.7,87.6,158.2,120.3,107.2,17.6,11.8,66.7,126.1,219.6,81,41.2,60.1,101.3,141.8,224.2,119,12.4,17.6,57.5,53.6,77.8,210.5,194.8,70.6,111.1,119,150.3,309.2,41.8,29.4,40.5,95.4,113.1,113.7,64.7,56.2,73.2,141.8,107.8,62.1,42.5,15,43.8,75.8,98.7,95.4,64.7,70.6,183,122.2,156.9,170.6,17.6,11.8,23.5,28.1,126.8,107.2,73.2,98.7,205.9,154.2,136.6,88.9,35.3,16.3,17,77.1,113.7,98,136.6,82.4,119,135.3,133.3,107.8,39.9,16.3,65.4,169.9,168.6,166,96.1,47.1,69.9,122.2,213.1,168.6,26.8,11.8,60.8,105.2,175.2,149,141.8,79.1,79.1,212.4,137.3,58.2,11.8,11.8,32.7,115,94.8,139.9,120.9,54.2,94.1,135.9,127.5,38.6,20.3,11.8,47.1,63.4,108.5,119.6,64.7
Gakenke,52.9,54.4,107.9,101.5,86.5,12.1,11.8,19.1,30.9,120.6,160,87.4,87.6,67.4,244.7,107.1,81.5,11.8,27.9,35.3,93.8,220,184.1,105.3,72.1,81.8,102.6,169.1,152.9,11.8,11.8,19.1,36.8,36.8,108.8,134.7,58.5,65.6,58.5,159.4,116.2,23.5,17.6,55,106.2,119.7,111.5,58.8,87.6,101.2,153.8,184.7,64.7,21.1,11.8,29.4,110.9,119.7,212.1,135.3,65.9,87.9,160.9,124.4,106.5,17.6,11.8,72.6,130.6,223.8,82.1,41.5,58.5,102.4,143.5,219.7,123.5,11.8,17.6,60.6,51.2,78.2,213.8,194.1,72.1,113.2,120,147.6,302.4,40,29.4,41.2,94.1,111.2,113.5,64.4,54.1,71.8,143.2,105.6,68.8,40.3,16.2,49.7,75.9,102.6,94.4,64.1,70,183.2,125.3,155.6,160.9,17.6,11.8,25,31.2,132.9,107.6,70.6,96.8,208.8,155.3,131.8,89.7,37.1,17.4,17.6,82.9,111.8,100.3,135,82.1,120,137.4,126.8,111.5,41.5,16.2,72.1,167.4,174.1,166.2,92.4,48.5,70.6,125.9,205.3,177.4,29.4,11.8,65.9,111.2,173.5,148.2,133.8,76.2,76.2,215.9,138.5,59.7,11.8,11.8,35.6,115.6,97.1,140.9,116.8,53.2,95.6,138.5,130.9,36.2,17.9,11.8,47.1,65.6,108.8,117.9,66.5
Musanze,58.3,52.9,115.5,99.9,78.3,11.8,11.8,16.5,28,112.5,154.2,91,82.9,65.3,241.5,105.9,83.1,11.8,23.5,29.4,83.9,211.9,190.3,101.8,66.2,80.4,102.9,170.4,139.8,11.8,11.8,17.6,34.2,34.2,109.5,131,58,64.1,58,149.6,102.2,18.5,14,41.7,98.7,110.9,116.2,58.8,78,97.9,151.3,183.6,59,20.3,11.8,22.7,101.3,117.4,221.7,139.4,65,81.9,161.9,116.8,105.2,17.6,11.8,58,116,219.2,85.4,41.2,59.4,101.5,149.2,230.7,117.5,11.8,17.6,53.4,48.3,79.4,212.5,193.3,70.9,109,126.5,147.5,298.5,37.7,25.8,37,93.1,113.6,120.6,61.5,57.7,74.8,148,110.1,66.7,41.9,11.8,36.1,74.9,100.8,100.1,64,69.9,182.8,121.8,152.4,165.8,17.6,11.8,22.4,25.2,130,114.4,75.5,92.2,202.7,159,140.8,87.4,35.3,16,16,67.2,113.7,100,138.8,77.7,121.4,139.6,150,100.6,33.3,13.2,55.2,171.3,170.7,171.1,98.5,47.1,68.9,126.5,223.8,157.7,22.8,11.8,54.5,97.8,187.3,160.9,152.2,80.1,80.1,218.6,142.7,61.8,11.8,11.8,28.3,107.4,96.2,143.7,120.4,53.5,94,140.8,127.3,42.3,20,11.8,40.8,55.3,113,124.2,64.7
Burera,53.4,58.4,114.2,105.9,81.6,13.6,11.8,22,38.2,128.9,166.1,91.6,86.7,73.1,245.7,108.4,81.3,11.8,23.5,33.7,92.6,224.9,190.7,107.4,77.1,78.9,108.4,169.8,152.2,11.8,11.8,22,40.7,40.7,116.1,136.7,60.4,68.3,60.4,160.7,107.3,23.5,17.6,58.7,108.8,120,116.6,58.8,87.8,107,152.5,196.1,64.7,20.1,11.8,29.4,105,126.5,221.7,135.9,68.7,84.8,170.1,121.2,111.8,17.6,11.8,74.9,136.7,223.5,81.3,43,58.8,106,149.5,227.4,126.5,11.8,17.6,63.2,47.1,84.2,212.7,195.2,76.5,115.3,130.5,150.5,264.9,35.3,29.4,41.2,96.7,111.8,117.2,62.8,58.8,76.5,152.5,106.3,86.7,35.3,11.8,51.4,74.6,111.3,97.5,62.2,67.6,184.1,126,157.3,145.5,17.6,11.8,28.9,33.7,139.6,114.7,72.8,89.8,211.9,162.4,137.6,79.9,37.8,17.6,17.6,80.8,113.9,105.3,139,78.9,128.2,146.6,144.7,101.4,37.8,11.8,73.4,178.2,188.7,170.1,89.8,51.4,70.6,131.9,228,177.6,26,11.8,69,110.2,188.4,151.9,133.4,79.6,79.6,227.1,147.1,62.2,11.8,11.8,33.7,107.4,102.9,143,113.3,54,101.1,146.6,138.2,39.8,17.6,11.8,46.6,64.2,121.1,119.2,70.1
Gicumbi,52.9,52.9,103.5,100,85.9,11.8,11.8,17.6,29.4,115.3,151.8,88.2,88.2,67.1,238.8,108.2,80,14.1,27.1,35.3,96.5,212.9,177.6,105.9,72.9,82.4,97.6,172.9,150.6,11.8,11.8,17.6,35.3,35.3,101.2,137.6,58.8,64.7,58.8,158.8,112.9,23.5,17.6,52.9,103.5,117.6,109.4,61.2,88.2,100,150.6,184.7,64.7,22.5,11.8,29.4,109.4,115.3,207.1,137.6,64.7,88.2,154.1,121.2,105.9,17.6,11.8,70.6,129.4,214.1,80,41.2,61.2,100,138.8,222.4,121.2,14.1,17.6,61.2,55.3,76.5,204.7,194.1,70.6,111.8,115.3,149.4,303.5,43.5,29.4,41.2,96.5,109.4,109.4,64.7,55.3,72.9,138.8,105.9,60,43.5,17.6,47.1,78.8,97.6,91.8,64.7,70.6,180,121.2,157.6,164.7,17.6,11.8,23.5,27.1,124.7,103.5,70.6,102.4,208.2,150.6,134.1,87.1,35.3,15.3,17.6,82.4,114.1,95.3,132.9,82.4,115.3,130.6,123.5,111.8,43.5,15.3,65.9,167.1,163.5,162.4,94.1,47.1,70.6,121.2,202.4,171.8,29.4,11.8,62.4,107.1,168.2,144.7,137.6,76.5,76.5,204.7,135.3,58.8,11.8,11.8,35.3,117.6,91.8,136.5,120,55.3,94.1,132.9,124.7,37.6,17.6,11.8,49.4,64.7,103.5,115.3,64.7
Rwamagana,58.8,52.9,118.2,101.6,75.9,11.8,11.8,16.4,28.2,119.2,155.3,97.9,82.4,66.9,241.7,109.8,91.5,11.8,23.5,28.9,82.4,226.5,195.8,107.9,68.7,81.1,100.7,175.6,133.2,11.8,11.8,17.6,33.5,33.5,110,138.6,57,64.7,57,150.5,105.7,17.6,15.2,35.4,94.8,111.8,116.6,62.2,79.9,94.8,147.7,189.2,59.9,20.2,11.8,21.8,96,119.8,225.9,142.3,64.2,80.6,159.5,116.4,100.7,17.6,11.8,51.8,111.8,236.5,91.7,45.1,59.4,98.9,148.3,244.7,117.6,11.8,17.6,47.2,43.6,77.2,210.7,198.1,70.6,104.8,127.6,146.4,280.7,36.5,23.5,34.7,89.5,127.8,125.7,64,57.6,74.7,146.5,106.6,73.9,43,11.8,29.5,74.1,109.2,100,64.7,70.6,179.5,118.9,151.7,162.5,17.6,11.8,21.8,23.5,131.7,112.4,80.4,89.5,198.2,158.8,147.5,84.3,31.9,15.9,15.9,60.7,118.7,98.8,136.5,75.9,116.6,139.4,159.1,101.2,31.2,11.8,46.6,169.5,180.2,169.5,100.5,47.1,68.8,124.2,231.5,150.8,23.5,11.8,47.2,95.3,203,160.7,168.4,81.7,81.7,210.8,142.4,56.1,11.8,11.8,27.6,105.9,97,146.4,121.8,52.9,92.9,141.7,125.3,43,19.4,11.8,39.4,60.3,124.4,119.6,64.7
Nyagatare,56.1,58,115,105.9,87.4,11.8,11.8,18.3,41,122.9,164.5,98,80.7,73.6,245.4,106.6,76.6,11.8,23.5,32.4,82.7,213.4,189.1,107.9,79,78,106.6,173.3,143.2,11.8,11.8,17.6,38,38,115.6,128.9,61.5,67.4,61.5,154.6,98.3,22.7,17.6,50.4,103.4,113.8,115.8,58.8,81.8,105.4,148.6,196.6,63.9,19.4,11.8,28.6,98.3,123.5,229.4,129.7,67.4,82.4,168.7,115.3,111.6,17.6,11.8,67.4,135.6,212.8,78.7,41.8,58.8,103.4,150.9,221.2,126.9,11.8,17.6,59.5,47.1,79.8,209.1,192.8,70.9,116.8,132.1,149.7,270.1,32.3,29.4,41.2,105.7,112.4,119.8,63.9,58.8,76.5,154.3,104.4,81.8,35.3,11.8,46.9,76.5,108.4,103.9,61.5,65.4,185.7,121.2,149.7,143.4,17.6,11.8,26.2,30.1,132.1,119,78.3,91.8,212.4,164.7,132.9,83.2,35.3,17.6,15.3,76.3,115.5,106.7,144.4,74.1,134.5,147.7,161,91.1,34.6,15.6,65.4,182.7,190.8,168.2,91.1,47.1,71.3,127.1,233.4,163,20.3,11.8,65.4,103.4,195.3,152.4,136.1,84.4,84.4,227.7,145.4,65.4,11.8,11.8,29.4,104.9,96.8,145.9,113.8,55.6,102.7,148.4,138,43.2,17.6,11.8,43.9,61.5,120.2,124.4,70.4
Gatsibo,57.6,56.9,101.2,98.8,74.5,17.6,11.8,21.6,29.4,120.4,147.1,89.4,92.9,69.4,228.2,111,70.6,17.6,22.7,39.2,92.2,213.3,191,105.9,75.3,76.5,92.9,183.5,147.8,17.6,11.8,23.5,29.4,29.4,111.8,136.1,58.8,63.5,58.8,163.5,93.3,22.4,16.9,43.9,96.9,131.8,117.6,60.8,83.1,102.7,147.8,199.2,70.6,26.9,11.8,27.5,97.3,117.6,221.2,128.6,64.7,80.4,151,123.5,98,23.5,11.8,72.5,126.3,221.6,82.4,41.2,66.7,96.9,141.2,235.7,103.9,17.6,17.6,66.7,52.2,80.4,216.5,200,72.5,100,107.1,170.6,263.1,46.3,28.6,40.4,89.4,112.2,121.6,65.9,58.8,74.5,128.6,108.2,56.9,52.2,16.9,49,74.1,110.6,100,65.5,71.4,168.2,122.4,165.1,158.8,18.4,11.8,23.5,30.2,133.3,109.8,76.5,100,196.9,141.2,155.3,90.2,40,11.8,17.6,68.6,123.9,100.8,125.9,77.3,107.1,123.5,138,109.4,51.8,16.9,54.1,162,168.6,179.6,101.6,47.1,68.6,117.6,219.2,178.8,29.4,11.8,62.7,91.4,181.6,152.2,139.6,77.6,77.6,193.3,135.7,63.5,11.8,11.8,29.4,107.1,92.2,146.3,122.7,59.6,93.3,130.2,124.3,40.4,19.6,11.8,45.1,52.9,115.7,123.5,63.5
Kayonza,54.5,55.6,101.1,101.1,79.7,14.4,11.8,20.3,29.4,117.1,143.9,87.2,89.8,70.6,234.8,109.6,72.7,17.6,23.5,38,96.3,210.2,180.2,105.9,75.4,80.7,95.2,175.9,148.7,14.4,11.8,20.3,32.6,32.6,102.1,138.5,58.8,64.7,58.8,161.5,101.6,23.5,17.6,50.3,98.9,125.7,111.2,62,85.6,101.6,148.1,191.4,66.3,25.6,11.8,29.4,103.2,113.4,209.6,134.8,63.6,85.6,150.8,118.2,103.2,20.3,11.8,73.3,129.4,209.6,79.1,41.2,64.7,101.1,140.1,228.9,112.3,17.6,17.6,67.4,56.1,79.1,205.9,194.7,70.6,108.6,110.2,161,277,47.1,29.4,42.2,95.7,108.6,113.9,64.7,57.8,76.5,134.8,105.9,55.6,49.7,17.6,49.7,78.6,102.1,93.6,64.7,70.6,175.9,122.5,166.8,165.8,17.6,11.8,24.6,27.3,126.7,105.3,72.2,103.2,208.6,146.5,146.5,84,39,11.8,17.6,78.1,120.3,93.6,127.8,79.7,110.2,124.6,127.8,111.8,49.7,14.4,58.8,167.9,162,169.5,95.7,47.1,71.7,119.8,211.2,174.9,29.4,11.8,61.5,97.3,171.7,146.5,137.4,75.4,75.4,197.3,135.3,61.5,11.8,11.8,33.7,113.4,90.9,136.4,123.5,58.8,95.2,131.6,120.3,41.2,18.7,11.8,50.3,60.4,108,117.1,64.7
Kirehe,52.9,52.9,100,100,82.4,11.8,11.8,17.6,29.4,111.8,141.2,88.2,88.2,70.6,235.3,111.8,76.5,17.6,23.5,35.3,100,205.9,170.6,105.9,76.5,82.4,94.1,176.5,147.1,11.8,11.8,17.6,35.3,35.3,94.1,141.2,58.8,64.7,58.8,158.8,105.9,23.5,17.6,52.9,100,117.6,105.9,64.7,88.2,100,147.1,188.2,64.7,24.3,11.8,29.4,105.9,111.8,200,141.2,64.7,88.2,147.1,117.6,105.9,17.6,11.8,70.6,129.4,200,76.5,41.2,64.7,100,135.3,229.4,117.6,17.6,17.6,64.7,58.8,76.5,194.1,194.1,70.6,111.8,111.8,152.9,282.4,47.1,29.4,41.2,100,105.9,105.9,64.7,58.8,76.5,135.3,105.9,52.9,47.1,17.6,47.1,82.4,94.1,88.2,64.7,70.6,176.5,117.6,164.7,164.7,17.6,11.8,23.5,23.5,117.6,100,70.6,105.9,211.8,147.1,141.2,76.5,35.3,11.8,17.6,82.4,117.6,88.2,129.4,82.4,111.8,123.5,123.5,111.8,47.1,11.8,58.8,170.6,152.9,158.8,94.1,47.1,70.6,117.6,205.9,164.7,29.4,11.8,58.8,100,164.7,141.2,141.2,76.5,76.5,194.1,135.3,58.8,11.8,11.8,35.3,117.6,88.2,129.4,123.5,58.8,94.1,129.4,117.6,41.2,17.6,11.8,52.9,64.7,100,111.8,64.7
